,Date,Power Gen MW
0,2017-03-09,0.0
1,2017-03-10,0.0
2,2017-03-11,0.0
3,2017-03-12,0.0
4,2017-03-13,0.0
5,2017-03-14,0.0
6,2017-03-15,0.0
7,2017-03-16,0.0
8,2017-03-17,0.0
9,2017-03-18,0.0
10,2017-03-19,0.0
11,2017-03-20,0.0
12,2017-03-21,0.0
13,2017-03-22,0.0
14,2017-03-23,0.0
15,2017-03-24,0.0
16,2017-03-25,0.0
17,2017-03-26,0.0
18,2017-03-27,0.0
19,2017-03-28,0.0
20,2017-03-29,0.0
21,2017-03-30,0.0
22,2017-03-31,0.0
23,2017-04-01,0.0
24,2017-04-02,0.0
25,2017-04-03,0.0
26,2017-04-04,0.0
27,2017-04-05,0.0
28,2017-04-06,0.0
29,2017-04-07,0.0
30,2017-04-08,0.0
31,2017-04-09,0.0
32,2017-04-10,0.0
33,2017-04-11,0.0
34,2017-04-12,0.0
35,2017-04-13,0.0
36,2017-04-14,0.0
37,2017-04-15,0.0
38,2017-04-16,0.0
39,2017-04-17,0.0
40,2017-04-18,0.0
41,2017-04-19,0.0
42,2017-04-20,0.0
43,2017-04-21,0.0
44,2017-04-22,0.0
45,2017-04-23,0.0
46,2017-04-24,0.0
47,2017-04-25,0.0
48,2017-04-26,0.0
49,2017-04-27,0.0
50,2017-04-28,0.0
51,2017-04-29,0.0
52,2017-04-30,0.0
53,2017-05-01,0.0
54,2017-05-02,0.0
55,2017-05-03,0.0
56,2017-05-04,0.0
57,2017-05-05,0.0
58,2017-05-06,0.0
59,2017-05-07,0.0
60,2017-05-08,0.0
61,2017-05-09,0.0
62,2017-05-10,0.0
63,2017-05-11,0.0
64,2017-05-12,0.0
65,2017-05-13,0.0
66,2017-05-14,0.0
67,2017-05-15,0.0
68,2017-05-16,0.0
69,2017-05-17,0.0
70,2017-05-18,0.0
71,2017-05-19,0.0
72,2017-05-20,0.0
73,2017-05-21,0.0
74,2017-05-22,0.0
75,2017-05-23,0.0
76,2017-05-24,0.0
77,2017-05-25,0.0
78,2017-05-26,0.0
79,2017-05-27,0.0
80,2017-05-28,0.0
81,2017-05-29,0.0
82,2017-05-30,0.0
83,2017-05-31,0.0
84,2017-06-01,0.0
85,2017-06-02,0.0
86,2017-06-03,0.0
87,2017-06-04,0.0
88,2017-06-05,0.0
89,2017-06-06,0.0
90,2017-06-07,0.0
91,2017-06-08,0.0
92,2017-06-09,0.0
93,2017-06-10,0.0
94,2017-06-11,0.0
95,2017-06-12,0.0
96,2017-06-13,0.0
97,2017-06-14,0.0
98,2017-06-15,0.0
99,2017-06-16,0.0
100,2017-06-17,0.0
101,2017-06-18,0.0
102,2017-06-19,0.0
103,2017-06-20,0.0
104,2017-06-21,0.0
105,2017-06-22,0.0
106,2017-06-23,0.0
107,2017-06-24,0.0
108,2017-06-25,0.0
109,2017-06-26,0.0
110,2017-06-27,0.0
111,2017-06-28,0.0
112,2017-06-29,0.0
113,2017-06-30,0.0
114,2017-07-01,0.0
115,2017-07-02,0.0
116,2017-07-03,0.0
117,2017-07-04,0.0
118,2017-07-05,0.0
119,2017-07-06,0.0
120,2017-07-07,0.0
121,2017-07-08,0.0
122,2017-07-09,0.0
123,2017-07-10,0.0
124,2017-07-11,0.0
125,2017-07-12,0.0
126,2017-07-13,0.0
127,2017-07-14,0.0
128,2017-07-15,0.0
129,2017-07-16,0.0
130,2017-07-17,0.0
131,2017-07-18,0.0
132,2017-07-19,0.0
133,2017-07-20,0.0
134,2017-07-21,0.0
135,2017-07-22,0.0
136,2017-07-23,0.0
137,2017-07-24,0.0
138,2017-07-25,0.0
139,2017-07-26,0.0
140,2017-07-27,0.0
141,2017-07-28,0.0
142,2017-07-29,0.0
143,2017-07-30,0.0
144,2017-07-31,0.0
145,2017-08-01,0.0
146,2017-08-02,0.0
147,2017-08-03,0.0
148,2017-08-04,0.0
149,2017-08-05,0.0
150,2017-08-06,0.0
151,2017-08-07,0.0
152,2017-08-08,0.0
153,2017-08-09,0.0
154,2017-08-10,0.0
155,2017-08-11,0.0
156,2017-08-12,0.0
157,2017-08-13,0.0
158,2017-08-14,0.0
159,2017-08-15,0.0
160,2017-08-16,0.0
161,2017-08-17,0.0
162,2017-08-18,0.0
163,2017-08-19,0.0
164,2017-08-20,0.0
165,2017-08-21,0.0
166,2017-08-22,0.0
167,2017-08-23,0.0
168,2017-08-24,0.0
169,2017-08-25,0.0
170,2017-08-26,0.0
171,2017-08-27,0.0
172,2017-08-28,0.0
173,2017-08-29,0.0
174,2017-08-30,0.0
175,2017-08-31,0.0
176,2017-09-01,0.0
177,2017-09-02,0.0
178,2017-09-03,0.0
179,2017-09-04,0.0
180,2017-09-05,0.0
181,2017-09-06,0.0
182,2017-09-07,0.0
183,2017-09-08,0.0
184,2017-09-09,0.0
185,2017-09-10,0.0
186,2017-09-11,0.0
187,2017-09-12,0.0
188,2017-09-13,0.0
189,2017-09-14,0.0
190,2017-09-15,0.0
191,2017-09-16,0.0
192,2017-09-17,0.0
193,2017-09-18,0.0
