,Date,Power Gen MW
0,2013-09-18,0.0
1,2013-09-19,0.0
2,2013-09-20,0.0
3,2013-09-21,0.0
4,2013-09-22,0.0
5,2013-09-23,0.0
6,2013-09-24,0.0
7,2013-09-25,0.0
8,2013-09-26,0.0
9,2013-09-27,0.0
10,2013-09-28,0.0
11,2013-09-29,0.0
12,2013-09-30,0.0
13,2013-10-01,0.0
14,2013-10-02,0.0
15,2013-10-03,0.0
16,2013-10-04,0.0
17,2013-10-05,0.0
18,2013-10-06,0.0
19,2013-10-07,0.0
20,2013-10-08,0.0
21,2013-10-09,0.0
22,2013-10-10,0.0
23,2013-10-11,0.0
24,2013-10-12,0.0
25,2013-10-13,0.0
26,2013-10-14,0.0
27,2013-10-15,0.0
28,2013-10-16,0.0
29,2013-10-17,0.0
30,2013-10-18,0.0
31,2013-10-19,0.0
32,2013-10-20,0.0
33,2013-10-21,0.0
34,2013-10-22,0.0
35,2013-10-23,0.0
36,2013-10-24,0.0
37,2013-10-25,0.0
38,2013-10-26,0.0
39,2013-10-27,0.0
40,2013-10-28,0.0
41,2013-10-29,1519.242
42,2013-10-30,962.9715
43,2013-10-31,1413.833
44,2013-11-01,867.121
45,2013-11-02,917.514
46,2013-11-03,1633.8055
47,2013-11-04,1498.0675
48,2013-11-05,1293.4859999999999
49,2013-11-06,0.0
50,2013-11-07,0.0
51,2013-11-08,0.0
52,2013-11-09,0.0
53,2013-11-10,0.0
54,2013-11-11,0.0
55,2013-11-12,0.0
56,2013-11-13,0.0
57,2013-11-14,0.0
58,2013-11-15,0.0
59,2013-11-16,0.0
60,2013-11-17,0.0
61,2013-11-18,0.0
62,2013-11-19,0.0
63,2013-11-20,0.0
64,2013-11-21,0.0
65,2013-11-22,0.0
66,2013-11-23,0.0
67,2013-11-24,0.0
68,2013-11-25,0.0
69,2013-11-26,0.0
70,2013-11-27,0.0
71,2013-11-28,0.0
72,2013-11-29,0.0
73,2013-11-30,0.0
74,2013-12-01,0.0
75,2013-12-02,0.0
76,2013-12-03,0.0
77,2013-12-04,0.0
78,2013-12-05,0.0
79,2013-12-06,0.0
80,2013-12-07,0.0
81,2013-12-08,0.0
82,2013-12-09,0.0
83,2013-12-10,0.0
84,2013-12-11,0.0
85,2013-12-12,0.0
86,2013-12-13,0.0
87,2013-12-14,0.0
88,2013-12-15,0.0
89,2013-12-16,0.0
